                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0371,                 3.6987,                 3.1025,                 1.4516,                0.00598,                      1,                0.26506,                 0.1073,                0.00598,                      1,                0.12722,                0.08864,                0.86701,                 3.8575,                 3.1191,                 1.6052,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.81455,                 2.7787,                 2.9196,                 1.3434,                 0.0067,                      1,                  0.955,                0.80366,                 0.0067,                      1,                  0.955,                0.79609,                0.39458,                 1.0668,                 2.8991,                 1.0884,             0.00014854,             0.00014854,             0.00014854
                      3,                0.58254,                 0.8208,                 1.9385,                 1.1279,                      1,                0.57597,                0.97214,                 0.8049,                      1,                0.57597,                0.97214,                0.85965,                0.50292,                0.77075,                 2.2085,                 1.2645,             0.00022876,             0.00022876,             0.00022876
                      4,                0.50672,                0.60657,                 1.2754,                 1.0389,                      1,                0.83807,                  0.995,                0.85004,                      1,                0.83807,                  0.995,                0.84378,                0.63138,                 0.7328,                 1.8889,                 1.3913,             0.00030732,             0.00030732,             0.00030732
                      5,                0.49926,                0.63893,                 1.0378,                 1.0096,                 0.9462,                      1,                  0.995,                0.82512,                 0.9462,                      1,                  0.995,                0.76685,                0.80919,                0.96264,                 1.6675,                 1.9744,             0.00038424,             0.00038424,             0.00038424
                      6,                0.53941,                0.55852,                 1.1004,                 1.0886,                0.99427,                      1,                  0.995,                0.88278,                0.99427,                      1,                  0.995,                0.85613,                0.61759,                0.70804,                 1.3371,                 1.5117,              0.0004595,              0.0004595,              0.0004595
                      7,                0.54434,                0.62706,                 1.0559,                 1.0857,                0.98969,                      1,                  0.995,                0.90784,                0.98969,                      1,                  0.995,                0.78597,                0.63668,                 1.2895,                 1.1643,                 1.4548,             0.00053311,             0.00053311,             0.00053311
                      8,                0.52821,                0.69949,                 1.0244,                 1.0192,                0.98922,                      1,                  0.995,                0.89605,                0.98922,                      1,                  0.995,                 0.7757,                 0.5509,                  1.196,                 1.0222,                  1.284,             0.00060508,             0.00060508,             0.00060508
                      9,                0.49119,                0.57697,                0.91538,                  1.001,                      1,                0.99107,                  0.995,                0.85757,                      1,                0.99107,                  0.995,                0.90062,                0.66981,                0.62328,                0.92148,                 1.4357,             0.00067539,             0.00067539,             0.00067539
                     10,                 0.4703,                 0.5895,                 0.8252,                0.97322,                0.98389,                      1,                  0.995,                0.88797,                0.98389,                      1,                  0.995,                 0.8646,                0.60822,                 1.1005,                  1.183,                 1.3824,             0.00074405,             0.00074405,             0.00074405
                     11,                0.52615,                0.60807,                0.94513,                 1.0354,                0.98909,                      1,                  0.995,                0.86506,                0.98909,                      1,                  0.995,                0.90462,                0.64334,                0.81953,                 1.0856,                 1.4202,             0.00081106,             0.00081106,             0.00081106
                     12,                0.52157,                0.54766,                0.92149,                0.99345,                0.97688,                      1,                  0.995,                0.83129,                0.97688,                      1,                  0.995,                0.88015,                0.59199,                 1.0503,                 1.3508,                 1.2832,             0.00087642,             0.00087642,             0.00087642
                     13,                0.58248,                0.68448,                 1.0054,                 1.0667,                0.90453,                      1,                  0.995,                0.83349,                0.90453,                      1,                  0.995,                0.88155,                 0.6215,                 1.0837,                 1.6029,                 1.2548,             0.00094013,             0.00094013,             0.00094013
                     14,                0.50493,                0.61615,                0.91324,                0.99732,                0.99203,                      1,                  0.995,                0.81876,                0.99203,                      1,                  0.995,                0.83305,                0.63026,                 1.3545,                  1.123,                 1.3717,              0.0010022,              0.0010022,              0.0010022
                     15,                0.51796,                0.60761,                 0.8948,                 1.0403,                0.97124,                      1,                  0.995,                0.73914,                0.97124,                      1,                  0.995,                0.51624,                0.83629,                 4.5899,                 1.0873,                 1.5056,              0.0010626,              0.0010626,              0.0010626
                     16,                0.51045,                 0.5605,                0.86263,                  1.017,                0.84971,                      1,                0.97214,                0.74897,                0.95516,                0.83333,                0.84977,                 0.4556,                0.87315,                 5.0225,                 1.1492,                 1.5109,              0.0011214,              0.0011214,              0.0011214
                     17,                0.58509,                0.52473,                0.92524,                 1.0533,                0.97435,                      1,                  0.995,                0.87458,                0.97435,                      1,                  0.995,                0.46368,                0.59049,                 6.4214,                 1.1197,                 1.2646,              0.0011785,              0.0011785,              0.0011785
                     18,                0.50819,                0.50894,                0.89576,                 1.0355,                0.98987,                      1,                  0.995,                 0.8072,                0.98987,                      1,                  0.995,                0.55112,                0.61913,                  4.342,                 1.1026,                 1.2627,              0.0012339,              0.0012339,              0.0012339
                     19,                0.55265,                0.74596,                0.94333,                 1.0382,                0.99107,                      1,                  0.995,                0.75533,                0.74229,                0.96402,                0.89833,                0.33325,                0.80958,                 7.9553,                 1.3342,                 1.4082,              0.0012877,              0.0012877,              0.0012877
                     20,                0.47424,                0.43941,                0.83107,                 1.0012,                0.98551,                      1,                  0.995,                0.54255,                0.66027,                    0.5,                0.45613,                0.31941,                 1.2981,                 5.7337,                 1.2685,                 2.0815,              0.0013399,              0.0013399,              0.0013399
                     21,                0.54546,                0.53939,                0.86314,                 1.0412,                0.98759,                      1,                  0.995,                0.63091,                0.76535,                0.66667,                    0.6,                0.35226,                 1.0872,                 5.6602,                 1.1927,                 1.7291,              0.0013369,              0.0013369,              0.0013369
